step,loss,lr
0,9.271768569946289,0.0
1,9.260448455810547,0.0001
2,9.176008224487305,5.5e-05
3,9.124253273010254,1e-05
0,9.238551139831543,0.0
0,9.261248588562012,0.0
1,9.246726036071777,0.0001
2,9.174388885498047,5.5e-05
3,9.10509967803955,1e-05
0,9.26785945892334,0.0
1,9.26785945892334,0.0001
2,8.951556205749512,5.5e-05
3,8.790264129638672,1e-05
0,9.249908447265625,0.0
1,9.24693489074707,0.0001
2,9.010014533996582,5.5e-05
3,8.868989944458008,1e-05
