step,loss,lr
0,9.26479721069336,0.0
1,9.270645141601562,2.5000000000000002e-08
2,9.279791831970215,5.0000000000000004e-08
3,9.274513244628906,7.500000000000001e-08
4,9.251441955566406,1.0000000000000001e-07
5,9.269775390625,1.25e-07
6,9.260108947753906,1.5000000000000002e-07
7,9.270109176635742,1.75e-07
8,9.273031234741211,2.0000000000000002e-07
9,9.254539489746094,2.2500000000000002e-07
10,9.280064582824707,2.5e-07
11,9.263877868652344,2.75e-07
12,9.274459838867188,3.0000000000000004e-07
13,9.252725601196289,3.2500000000000006e-07
14,9.260358810424805,3.5e-07
15,9.258247375488281,3.75e-07
16,9.276174545288086,4.0000000000000003e-07
17,9.266738891601562,4.25e-07
18,9.26803207397461,4.5000000000000003e-07
19,9.256502151489258,4.75e-07
20,9.259090423583984,5e-07
21,9.274860382080078,5.250000000000001e-07
22,9.25455379486084,5.5e-07
23,9.2718505859375,5.75e-07
24,9.263818740844727,6.000000000000001e-07
25,9.262683868408203,6.25e-07
26,9.262893676757812,6.500000000000001e-07
27,9.27241325378418,6.75e-07
28,9.267698287963867,7e-07
29,9.261341094970703,7.25e-07
30,9.26014518737793,7.5e-07
31,9.262090682983398,7.750000000000001e-07
32,9.247672080993652,8.000000000000001e-07
33,9.26452922821045,8.25e-07
34,9.257499694824219,8.5e-07
35,9.241437911987305,8.75e-07
36,9.243056297302246,9.000000000000001e-07
37,9.245597839355469,9.25e-07
38,9.2304105758667,9.5e-07
39,9.253190994262695,9.75e-07
40,9.238779067993164,1e-06
41,9.249798774719238,1.0250000000000001e-06
42,9.250921249389648,1.0500000000000001e-06
43,9.22783088684082,1.075e-06
44,9.257620811462402,1.1e-06
45,9.249004364013672,1.125e-06
46,9.250892639160156,1.15e-06
47,9.243560791015625,1.175e-06
48,9.243047714233398,1.2000000000000002e-06
49,9.236939430236816,1.225e-06
50,9.239108085632324,1.25e-06
51,9.235091209411621,1.275e-06
52,9.231008529663086,1.3000000000000003e-06
53,9.228764533996582,1.325e-06
54,9.228256225585938,1.35e-06
55,9.238363265991211,1.3750000000000002e-06
56,9.23475456237793,1.4e-06
57,9.214099884033203,1.4250000000000001e-06
58,9.234002113342285,1.45e-06
59,9.225985527038574,1.475e-06
60,9.20789909362793,1.5e-06
61,9.21552562713623,1.525e-06
62,9.227502822875977,1.5500000000000002e-06
63,9.215227127075195,1.575e-06
64,9.206830024719238,1.6000000000000001e-06
65,9.225082397460938,1.6250000000000001e-06
66,9.21822738647461,1.65e-06
67,9.205525398254395,1.675e-06
68,9.202884674072266,1.7e-06
69,9.189230918884277,1.7250000000000002e-06
70,9.223538398742676,1.75e-06
71,9.20256233215332,1.7750000000000002e-06
72,9.20730972290039,1.8000000000000001e-06
73,9.190813064575195,1.825e-06
74,9.185806274414062,1.85e-06
75,9.202739715576172,1.875e-06
76,9.182458877563477,1.9e-06
77,9.203770637512207,1.925e-06
78,9.190851211547852,1.95e-06
79,9.192132949829102,1.975e-06
80,9.182140350341797,2e-06
81,9.18173885345459,2.025e-06
82,9.183977127075195,2.0500000000000003e-06
83,9.18870735168457,2.075e-06
84,9.173750877380371,2.1000000000000002e-06
85,9.17894172668457,2.125e-06
86,9.168058395385742,2.15e-06
87,9.159221649169922,2.1750000000000004e-06
88,9.168577194213867,2.2e-06
89,9.174737930297852,2.225e-06
90,9.163958549499512,2.25e-06
91,9.166841506958008,2.2750000000000002e-06
92,9.191143035888672,2.3e-06
93,9.173079490661621,2.325e-06
94,9.160356521606445,2.35e-06
95,9.144172668457031,2.375e-06
96,9.159469604492188,2.4000000000000003e-06
97,9.143138885498047,2.425e-06
98,9.147581100463867,2.45e-06
99,9.140264511108398,2.475e-06
100,9.130287170410156,2.5e-06
101,9.127952575683594,2.5250000000000004e-06
102,9.140922546386719,2.55e-06
103,9.141164779663086,2.575e-06
104,9.124117851257324,2.6000000000000005e-06
105,9.11822509765625,2.6250000000000003e-06
106,9.137954711914062,2.65e-06
107,9.111353874206543,2.6750000000000002e-06
108,9.130672454833984,2.7e-06
109,9.13034725189209,2.725e-06
110,9.125459671020508,2.7500000000000004e-06
111,9.116128921508789,2.775e-06
112,9.105706214904785,2.8e-06
113,9.110548973083496,2.825e-06
114,9.086030006408691,2.8500000000000002e-06
115,9.091684341430664,2.875e-06
116,9.09412956237793,2.9e-06
117,9.08717155456543,2.925e-06
118,9.079089164733887,2.95e-06
119,9.098028182983398,2.9750000000000003e-06
120,9.071632385253906,3e-06
121,9.091453552246094,3.0250000000000003e-06
122,9.066568374633789,3.05e-06
123,9.08172607421875,3.075e-06
124,9.090873718261719,3.1000000000000004e-06
125,9.062108993530273,3.125e-06
126,9.064627647399902,3.15e-06
127,9.076988220214844,3.175e-06
128,9.055789947509766,3.2000000000000003e-06
129,9.059917449951172,3.225e-06
130,9.024971008300781,3.2500000000000002e-06
131,9.05362606048584,3.275e-06
132,9.03898811340332,3.3e-06
133,9.04873275756836,3.3250000000000004e-06
134,9.028669357299805,3.35e-06
135,9.063361167907715,3.375e-06
136,9.023972511291504,3.4e-06
137,9.031494140625,3.4250000000000002e-06
138,9.011331558227539,3.4500000000000004e-06
139,9.007920265197754,3.475e-06
140,9.019414901733398,3.5e-06
141,9.012001991271973,3.5250000000000006e-06
142,9.031901359558105,3.5500000000000003e-06
143,8.988248825073242,3.575e-06
144,9.012540817260742,3.6000000000000003e-06
145,8.978946685791016,3.625e-06
146,8.976531982421875,3.65e-06
147,8.944938659667969,3.6750000000000004e-06
148,8.99445915222168,3.7e-06
149,8.974078178405762,3.725e-06
150,8.997355461120605,3.75e-06
151,8.965877532958984,3.7750000000000003e-06
152,8.950977325439453,3.8e-06
153,8.966176986694336,3.825000000000001e-06
154,8.969508171081543,3.85e-06
155,8.977714538574219,3.875e-06
156,8.953817367553711,3.9e-06
157,8.949529647827148,3.9250000000000005e-06
158,8.912214279174805,3.95e-06
159,8.941271781921387,3.975e-06
160,8.909406661987305,4e-06
161,8.946282386779785,4.025e-06
162,8.912469863891602,4.05e-06
163,8.940529823303223,4.075000000000001e-06
164,8.922880172729492,4.1000000000000006e-06
165,8.898929595947266,4.125e-06
166,8.899435997009277,4.15e-06
167,8.892167091369629,4.175e-06
168,8.878399848937988,4.2000000000000004e-06
169,8.860417366027832,4.225e-06
170,8.894516944885254,4.25e-06
171,8.842279434204102,4.2750000000000006e-06
172,8.88125228881836,4.3e-06
173,8.843193054199219,4.325e-06
174,8.821737289428711,4.350000000000001e-06
175,8.885893821716309,4.3750000000000005e-06
176,8.835908889770508,4.4e-06
177,8.840667724609375,4.425e-06
178,8.834661483764648,4.45e-06
179,8.81191635131836,4.4749999999999995e-06
180,8.820768356323242,4.5e-06
181,8.830947875976562,4.525000000000001e-06
182,8.810897827148438,4.5500000000000005e-06
183,8.745551109313965,4.575e-06
184,8.795093536376953,4.6e-06
185,8.792197227478027,4.625000000000001e-06
186,8.772595405578613,4.65e-06
187,8.733211517333984,4.675e-06
188,8.797113418579102,4.7e-06
189,8.784634590148926,4.725e-06
190,8.771682739257812,4.75e-06
191,8.73482894897461,4.775000000000001e-06
192,8.70737075805664,4.800000000000001e-06
193,8.736207008361816,4.825e-06
194,8.733396530151367,4.85e-06
195,8.721088409423828,4.875e-06
196,8.719317436218262,4.9e-06
197,8.689115524291992,4.925e-06
198,8.673388481140137,4.95e-06
199,8.648699760437012,4.975000000000001e-06
200,8.675554275512695,5e-06
201,8.706613540649414,5.025e-06
202,8.67822551727295,5.050000000000001e-06
203,8.648521423339844,5.0750000000000005e-06
204,8.6810884475708,5.1e-06
205,8.652640342712402,5.125e-06
206,8.64468002319336,5.15e-06
207,8.634103775024414,5.175e-06
208,8.588288307189941,5.200000000000001e-06
209,8.63027572631836,5.225000000000001e-06
210,8.561057090759277,5.2500000000000006e-06
211,8.594809532165527,5.275e-06
212,8.576813697814941,5.3e-06
213,8.584138870239258,5.325e-06
214,8.595966339111328,5.3500000000000004e-06
215,8.573137283325195,5.375e-06
216,8.550506591796875,5.4e-06
217,8.575546264648438,5.425e-06
218,8.574538230895996,5.45e-06
219,8.569427490234375,5.475e-06
220,8.554278373718262,5.500000000000001e-06
221,8.5409574508667,5.5250000000000005e-06
222,8.520957946777344,5.55e-06
223,8.536462783813477,5.575e-06
224,8.497142791748047,5.6e-06
225,8.42870044708252,5.625e-06
226,8.525992393493652,5.65e-06
227,8.498943328857422,5.675000000000001e-06
228,8.44698715209961,5.7000000000000005e-06
229,8.439781188964844,5.725e-06
230,8.43564510345459,5.75e-06
231,8.487923622131348,5.775000000000001e-06
232,8.41054916381836,5.8e-06
233,8.383282661437988,5.825e-06
234,8.472923278808594,5.85e-06
235,8.42033576965332,5.875e-06
236,8.382587432861328,5.9e-06
237,8.372835159301758,5.925000000000001e-06
238,8.392255783081055,5.950000000000001e-06
239,8.34327507019043,5.975e-06
240,8.382630348205566,6e-06
241,8.298033714294434,6.025e-06
242,8.318973541259766,6.0500000000000005e-06
243,8.335205078125,6.075e-06
244,8.331153869628906,6.1e-06
245,8.327418327331543,6.125000000000001e-06
246,8.307510375976562,6.15e-06
247,8.276057243347168,6.175e-06
248,8.251513481140137,6.200000000000001e-06
249,8.306761741638184,6.2250000000000005e-06
250,8.266456604003906,6.25e-06
251,8.301746368408203,6.275e-06
252,8.283679962158203,6.3e-06
253,8.236255645751953,6.325e-06
254,8.189653396606445,6.35e-06
255,8.241921424865723,6.375000000000001e-06
256,8.208975791931152,6.4000000000000006e-06
257,8.180593490600586,6.425e-06
